id,property_id,buyer_user_id,status,message,rejection_reason,price_at_request,currency_at_request,buyer_notified,agency_notified,requested_at,responded_at,created_at,updated_at
e4d4fa77-7936-4990-8384-d60f01652ff0,52ec809a-95dd-4513-ae87-58a246a38578,56de9961-d090-4e08-9900-b69f2e2bdc1b,pending,,,87151000,CRC,False,True,2026-05-25 16:44:58.270561-06:00,,2026-05-25 16:44:58.270561-06:00,2026-05-25 16:44:58.270561-06:00
c56bb2eb-40b2-4b03-b23d-3d221467a780,58bc52ce-df89-49a1-895d-27e868eae4ba,61af2084-94e6-483d-b446-3f18547e9ea3,pending,,,150000,USD,False,True,2026-06-15 16:44:58.270566-06:00,,2026-06-15 16:44:58.270566-06:00,2026-06-15 16:44:58.270566-06:00
ff4dcb53-46f0-44b4-b541-7517d5ce3cd1,11d438e2-3e45-4dd2-b582-076d4a7a383f,663b8db8-a7e1-41a0-84e8-814f68f4f37a,accepted,,,492000,USD,True,True,2026-06-01 16:44:58.270571-06:00,2026-06-08 16:44:58.270571-06:00,2026-06-01 16:44:58.270571-06:00,2026-06-08 16:44:58.270571-06:00
464e20ed-1531-4edc-a1e8-de6cb68d0918,39c82d46-d7da-4ee3-bcf3-25948eefd1fd,05ca9e28-bb45-4d0e-a2b2-db233c675dff,rejected,Deja estas sangre administración josé.,El propietario decidió no proceder con la venta en este momento.,78694000,CRC,True,True,2026-05-17 16:44:58.270576-06:00,2026-05-23 16:44:58.270576-06:00,2026-05-17 16:44:58.270576-06:00,2026-05-23 16:44:58.270576-06:00
0f19abd1-dfba-4e6a-a219-ac3f8540447e,0e364f98-6298-4d06-852f-9d5bac524a44,9bbe2275-2ab9-445d-a97a-7c5b6c7acd3d,pending,Dolor joven llegar día crisis salida.,,420000,USD,False,True,2026-06-07 16:44:58.270598-06:00,,2026-06-07 16:44:58.270598-06:00,2026-06-07 16:44:58.270598-06:00
61868425-76c5-4e9b-b161-002c9e2a9597,d47a93aa-1805-4d22-a579-d8db4566cd37,2ec5bf84-2777-4d0c-a1d5-145ab4e66288,accepted,,,124602000,CRC,True,True,2026-05-18 16:44:58.270613-06:00,2026-05-27 16:44:58.270613-06:00,2026-05-18 16:44:58.270613-06:00,2026-05-27 16:44:58.270613-06:00
372ef7ed-fa06-4570-875c-8d064903b202,e3a4a6ed-b51c-4311-ac58-d0240e6b94e5,2efbbc16-b02f-487b-b6e6-371789daac81,rejected,Contra gonzález objetivo podrá ayer autoridades servicios.,El comprador no completó la documentación requerida en el plazo establecido.,89533000,CRC,True,True,2026-06-18 16:44:58.270618-06:00,2026-06-22 16:44:58.270618-06:00,2026-06-18 16:44:58.270618-06:00,2026-06-22 16:44:58.270618-06:00
dfcadff5-d49b-4e50-a707-bf63da81d640,2f2c02ed-374f-4bee-8493-d5dfd08770fa,fd1a4d85-4cac-4ee7-8ff5-2b6e08af64d2,pending,,,819000,USD,False,True,2026-07-05 16:44:58.270634-06:00,,2026-07-05 16:44:58.270634-06:00,2026-07-05 16:44:58.270634-06:00
3de3ec4c-1ca7-4418-885a-e31b3e5cb568,2e5236a7-60bf-48f1-9bce-ba29d286f2e4,651a34a7-7b3b-4d1d-9858-3794c5902b27,pending,Encuentro esto mejores vida gente.,,303000,USD,False,True,2026-06-17 16:44:58.270638-06:00,,2026-06-17 16:44:58.270638-06:00,2026-06-17 16:44:58.270638-06:00
18690015-92dd-462d-b6da-a67c8f7305bb,1b48ab82-2421-4e74-84bc-14a32c7cb862,47d6ec26-c79e-435c-8eac-865573b2ac78,accepted,Sociales tres estilo haya donde causa hablar.,,78484000,CRC,True,True,2026-05-10 16:44:58.270652-06:00,2026-05-14 16:44:58.270652-06:00,2026-05-10 16:44:58.270652-06:00,2026-05-14 16:44:58.270652-06:00
ef0aac01-42bb-49ec-a651-2cb74dc3c5fa,a054370c-5142-49c3-8c60-6339cf96bf86,e5e226d9-0d40-49cb-9ef1-b3afe1b53676,accepted,Sabe juicio etc cambios palabra radio humano valor.,,249000,USD,True,True,2026-05-25 16:44:58.270666-06:00,2026-06-01 16:44:58.270666-06:00,2026-05-25 16:44:58.270666-06:00,2026-06-01 16:44:58.270666-06:00
8b3c17e2-7d94-48da-958c-50f87f358a4d,7fe28e2b-1091-440c-9dd5-921eb4bdaf10,866af491-931b-4e53-8baa-f593940af44a,cancelled,,,241288000,CRC,True,True,2026-04-29 16:44:58.270681-06:00,2026-05-06 16:44:58.270681-06:00,2026-04-29 16:44:58.270681-06:00,2026-05-06 16:44:58.270681-06:00
64aa691d-3334-44f8-9668-87982f1d79b8,3c0edd93-fda3-41fd-b71a-86a93652b493,e5e226d9-0d40-49cb-9ef1-b3afe1b53676,cancelled,,,108786000,CRC,True,True,2026-07-09 16:44:58.270686-06:00,2026-07-17 16:44:58.270686-06:00,2026-07-09 16:44:58.270686-06:00,2026-07-17 16:44:58.270686-06:00
86c8446e-450f-4114-8342-939b4aea0281,cbdfa6d1-199f-48d6-a380-cf3c4556b255,1a2c3cfa-5878-4620-b2ba-00a5d0864806,accepted,Sé época bueno hombres estructura.,,70265000,CRC,True,True,2026-05-03 16:44:58.270692-06:00,2026-05-06 16:44:58.270692-06:00,2026-05-03 16:44:58.270692-06:00,2026-05-06 16:44:58.270692-06:00
cb8012d8-831d-449e-bac9-df31d0179c89,99624e87-e7fa-495c-8937-1b27e8958799,6d323590-f99e-4a0f-a9f3-30f82bf63721,rejected,Decisión pública principales encontrar fecha eso mesa.,El propietario decidió no proceder con la venta en este momento.,121786000,CRC,True,True,2026-05-06 16:44:58.270705-06:00,2026-05-10 16:44:58.270705-06:00,2026-05-06 16:44:58.270705-06:00,2026-05-10 16:44:58.270705-06:00
a9952e8f-a7e8-4094-8db8-be32f279f325,5d01960e-401e-46de-9bfc-12831efdfd0d,ddb83635-ff56-4d1b-9437-22acffd0ae8b,accepted,,,246505000,CRC,True,True,2026-04-08 16:44:58.270720-06:00,2026-04-13 16:44:58.270720-06:00,2026-04-08 16:44:58.270720-06:00,2026-04-13 16:44:58.270720-06:00
dde41c04-12a2-4b3e-8a7c-7e318cf56469,c2cb3a27-cc3b-41ed-9b29-b9df8a63bd98,2efbbc16-b02f-487b-b6e6-371789daac81,pending,,,304658000,CRC,False,True,2026-06-28 16:44:58.270726-06:00,,2026-06-28 16:44:58.270726-06:00,2026-06-28 16:44:58.270726-06:00
d5a39877-bcb2-40b8-b0d9-9c29b07fe0e3,e8fd2a5d-f07f-48fd-99d3-501e6d65b04c,2c7d79d1-acf0-4dc0-abba-d633d58b994e,accepted,Autor vuelta cargo ello valores felipe.,,149000,USD,True,True,2026-06-27 16:44:58.270732-06:00,2026-06-29 16:44:58.270732-06:00,2026-06-27 16:44:58.270732-06:00,2026-06-29 16:44:58.270732-06:00
edeb9952-6881-4d2b-82e2-398879ee828c,bd186db5-777c-423f-a175-88ef04b6040f,ee8426dc-7735-4792-917f-dcfe20cf7a9f,accepted,Izquierda o puso amigos.,,40316000,CRC,True,True,2026-06-14 16:44:58.270746-06:00,2026-06-15 16:44:58.270746-06:00,2026-06-14 16:44:58.270746-06:00,2026-06-15 16:44:58.270746-06:00
a4bf1d43-78c1-442a-b8b0-1b2aa7fc8f1d,aee0715e-75d8-4dbb-9f71-de2af221be30,4122ce64-1b0f-4bc0-b0e5-bf6978fc1f81,accepted,Hombres cual razón asimismo.,,179000,USD,True,True,2026-05-22 16:44:58.270760-06:00,2026-05-28 16:44:58.270760-06:00,2026-05-22 16:44:58.270760-06:00,2026-05-28 16:44:58.270760-06:00
98971d08-711b-43d3-b323-d6b598488614,a141768f-783f-4ec8-8790-4ac7e53f625b,043ec065-1baf-4e97-8c97-3122fe40c3b4,rejected,Creación mismo trata segunda viejo.,El comprador no completó la documentación requerida en el plazo establecido.,94740000,CRC,True,True,2026-05-08 16:44:58.270774-06:00,2026-05-18 16:44:58.270774-06:00,2026-05-08 16:44:58.270774-06:00,2026-05-18 16:44:58.270774-06:00
e1f9ee7f-36f7-44f3-a967-747deb5452c2,6be7a404-a089-49bc-9ee7-f92c3b5fa4c1,727a505a-3ad3-4aaa-979a-2c717ba05cde,pending,Informe origen policía fuerzas interior busca pueda.,,47768000,CRC,False,True,2026-06-02 16:44:58.270788-06:00,,2026-06-02 16:44:58.270788-06:00,2026-06-02 16:44:58.270788-06:00
51bb3859-32d3-469b-a0e4-bd4930225898,2b4df4e0-fa90-45a3-b89c-a5e93ec2ffb7,2efbbc16-b02f-487b-b6e6-371789daac81,pending,,,564000,USD,False,True,2026-06-25 16:44:58.270801-06:00,,2026-06-25 16:44:58.270801-06:00,2026-06-25 16:44:58.270801-06:00
ea28333a-20cc-4c25-9798-163ca4808d21,d5e21237-7154-4b7c-bf34-061f307742bf,f518c4d3-d550-4dd6-bea7-ae6985ad30a0,cancelled,,,57381000,CRC,True,True,2026-04-29 16:44:58.270806-06:00,2026-05-09 16:44:58.270806-06:00,2026-04-29 16:44:58.270806-06:00,2026-05-09 16:44:58.270806-06:00
f2dc9f90-a320-4618-baed-8910487355c2,102a8a89-ef5d-4657-bff6-84c3dbe59e54,51134ee3-f117-4baa-b2cf-a18f209c4a9d,pending,,,325000,USD,False,True,2026-06-29 16:44:58.270811-06:00,,2026-06-29 16:44:58.270811-06:00,2026-06-29 16:44:58.270811-06:00
d47549ba-7b8e-4f21-bf07-ab61ca2e2b51,f96365cc-6c34-4b6c-840e-6e58a286a3f4,56de9961-d090-4e08-9900-b69f2e2bdc1b,accepted,Necesidad casos televisión pesar.,,45979000,CRC,True,True,2026-07-04 16:44:58.270816-06:00,2026-07-09 16:44:58.270816-06:00,2026-07-04 16:44:58.270816-06:00,2026-07-09 16:44:58.270816-06:00
ff34faee-4ad8-4f1b-8082-82b02937a5ce,18d92760-8854-4dec-80c2-0896c785684d,04fcfbea-aabd-41af-9fcb-ee1905dae1c2,pending,Este alta nadie amigos casa.,,122336000,CRC,False,True,2026-04-26 16:44:58.270829-06:00,,2026-04-26 16:44:58.270829-06:00,2026-04-26 16:44:58.270829-06:00
459540a0-9217-4963-b86d-208b18a81264,f447f61e-ea28-4fb9-92d7-0cc072688e43,29097ea7-9247-44a5-9ed2-15d5ef4a43bd,rejected,,La propiedad fue adquirida por otro comprador que presentó documentación completa primero.,167175000,CRC,True,True,2026-05-20 16:44:58.270842-06:00,2026-05-21 16:44:58.270842-06:00,2026-05-20 16:44:58.270842-06:00,2026-05-21 16:44:58.270842-06:00
2c63b682-458d-4b59-8274-17f1a2ac1f1b,5598d9c4-a7f2-4c0d-977f-26d76b600eba,3f516892-96a1-4860-8457-81543df6405b,accepted,Mayor puedo bueno pueden todavía.,,181717000,CRC,True,True,2026-05-17 16:44:58.270848-06:00,2026-05-18 16:44:58.270848-06:00,2026-05-17 16:44:58.270848-06:00,2026-05-18 16:44:58.270848-06:00
2b4fa50a-8c01-4974-8951-6960f651deaf,5f269cab-ca05-4f83-a92b-e5c31cd5c296,05ca9e28-bb45-4d0e-a2b2-db233c675dff,pending,Finalmente personal república voy orden bien.,,305789000,CRC,False,True,2026-04-23 16:44:58.270862-06:00,,2026-04-23 16:44:58.270862-06:00,2026-04-23 16:44:58.270862-06:00
